Mfcc,Chroma,MelSpectogram,Centroid,Spread,Flatness,Noiseness,Rolloff,Crest,Entropy,Decrease,Contrast,Pitch,Emotion
0.18040884,8.8847436E-08,2.859326E-09,384.9733,610.6074,0.85963976,0.022179255,674.159,4.0390763,0.65173876,-0.19951689,0.2801014,0,1
2.257476,2.593894E-06,2.8205253E-07,436.0339,679.0341,0.9814697,0.02410356,796.8278,4.0833244,0.7216974,-0.17203164,0.26603448,0,1
2.6408737,3.1733628E-06,6.080329E-07,426.2677,675.8284,0.9870006,0.025108896,822.8395,4.246876,0.7143441,-0.21663466,0.26572686,0,1
1.8604009,8.346711E-06,6.784219E-07,421.6752,671.8184,1.0067462,0.020667158,785.66876,4.4854097,0.74521744,-0.2798528,0.27137917,0,1
0.8965857,4.4161862E-07,9.885636E-08,420.75797,654.642,0.9382186,0.023746751,816.6667,4.1957984,0.69576126,-0.20106237,0.2562612,0,2
0.4065818,2.803109E-07,2.495645E-08,332.05002,510.71628,0.77673745,0.015179012,623.38934,4.43889,0.61754537,-0.41563776,0.24724074,0,2
0.87386924,8.071395E-07,8.0887396E-08,440.21872,655.52,0.9035757,0.031355165,850,4.5393414,0.6907972,-0.35118,0.27568823,0,2
2.2384894,2.6645696E-06,2.9936757E-07,423.62354,686.7436,1.0068685,0.024497613,782.26746,4.5872793,0.7503046,-0.36184803,0.28181458,0,2
0.12452434,4.6785908E-07,9.078636E-09,325.29184,511.99518,0.77317137,0.014971317,612.2616,4.937351,0.6161092,-0.58821136,0.24292397,0,2
0.44699955,3.5842137E-07,2.2717936E-08,461.2251,675.56903,0.9441626,0.027123952,961.7128,4.4409237,0.7048008,-0.35179323,0.2572937,0,2
1.4671434,1.9238155E-06,4.280703E-07,501.05756,696.25977,0.91684705,0.036867812,1009.11273,4.2244005,0.71688986,-0.19442862,0,0,2
0.21065778,1.4140626E-05,1.8850463E-08,460.4126,659.214,0.8699011,0.029047118,959.068,4.371196,0.67445374,-0.3242406,0.27591425,0,2
1.7498093,2.8222182E-06,3.8171973E-07,464.8315,714.8289,1.0650954,0.022579884,864.82556,4.2307024,0.7859212,-0.04108855,0.29215723,0,3
1.0131967,2.785918E-06,3.339958E-07,413.5352,634.59204,0.9354946,0.018962711,730.3779,4.2032194,0.7073468,-0.072923966,0.2840883,0,3
0.43659005,1.4823063E-05,1.0770771E-07,437.5042,649.4868,0.94232637,0.021497615,827.7778,3.7308884,0.7192972,-0.023364345,0.29264274,0,3
2.4765499,4.6856353E-06,3.1919848E-07,484.87778,756.4459,0.99645764,0.033655338,943.733,4.3747663,0.7685734,-0.071436174,0.27715215,0,3
1.0733653,4.236698E-05,2.15758E-06,505.2855,707.159,0.93986017,0.023532784,930.4945,5.097114,0.72358036,-0.020442525,0.3059038,0,3
0.7662103,0.00016532991,1.0078156E-05,469.13287,625.3553,0.8734771,0.013116353,850.27704,5.716384,0.7083965,-0.052969214,0.33315894,3.7826962,3
1.3747131,0.0006245062,1.2666533E-05,511.90973,752.9986,0.93494356,0.025953433,959.84656,5.4351835,0.7671306,-0.022149354,0.31416458,3.6411927,3
0.51484275,6.768135E-07,5.9479863E-08,497.2495,702.83484,0.89247936,0.029679397,941.688,4.925557,0.7258161,-0.015796155,0.30562854,1.2754428,3
0.45368275,2.715711E-06,4.6964846E-07,326.3526,502.35464,0.7587188,0.0138972,570.07874,3.6155276,0.62310255,-0.024980528,0.27518845,0,4
3.2524436,6.214017E-05,2.256181E-05,417.02472,622.8333,0.94443315,0.018473385,785.87573,4.0369377,0.7216263,-0.18943551,0.27069697,0,4
2.2024165E-06,2.7893082E-08,1.0568321E-09,295.9701,441.72195,0.65076923,0.015942715,596.3977,3.291689,0.53070885,-0.1241565,0.2705104,0,4
0.40963244,2.9911433E-07,3.9393587E-08,356.0217,551.5259,0.8172369,0.020170068,661.37726,3.5730546,0.6322052,-0.12659793,0.25634474,0,4
3.0356686,8.771009E-06,7.204939E-07,424.72565,658.746,0.923394,0.024476314,779.70825,4.0210094,0.69430345,-0.04817547,0.28600848,0,4
0.22126053,3.5055268E-07,1.7302263E-08,375.64957,552.37476,0.79006624,0.017533204,684.19617,3.5988333,0.6278675,0.04799641,0,0,4
0.07037058,1.964079E-07,1.1349219E-08,395.5866,578.2931,0.7914498,0.0253368,744.07007,3.6919692,0.6421958,0.03615969,0.29995131,0,4
0.1654295,2.3758403E-07,1.3991902E-08,439.53207,640.5895,0.862527,0.030355243,860.1078,3.8976526,0.6699411,-0.0043502925,0.2766785,0,4
0.88270307,1.0149861E-05,6.523895E-07,469.6841,690.1544,0.89549637,0.024195464,888.0208,4.0749826,0.7158028,0.029321441,0.2825743,2.9395466,5
0.47565588,7.49688E-05,7.934687E-06,503.46945,697.5562,0.8362722,0.026968965,976.3427,4.930502,0.6913679,0.037537064,0.30338612,6.151183,5
1.0008302,6.275433E-06,5.5716987E-07,490.61783,727.2693,0.9752999,0.027517619,951.2968,4.4289627,0.7471739,-0.050055668,0.2960248,1.0567108,5
1.0870157,7.2873365E-05,2.9544376E-06,583.71387,821.44977,0.986257,0.039756406,1123.4502,4.731407,0.7808961,-0.031001152,0.30010167,5.626325,5
-0.16997294,0.06246292,0.004185462,697.8535,858.20593,0.9257797,0.029985147,1294.3489,5.741874,0.777427,0.026016325,0.30914843,106.82524,5
-5.8268256,1.073605,0.0037646142,876.1657,923.376,0.8168443,0.05937597,1644.7004,7.2110963,0.77230287,0.07752634,0.34457332,64.843834,5
-1.4212158,0.008638738,0.00036559027,836.9278,1006.6657,0.9479862,0.056155894,1648.4185,6.414823,0.805997,0.06227347,0.32318228,49.20376,5
-2.078705,0.010208984,0.0004966362,859.8087,967.3419,0.86726826,0.042326313,1637.4149,7.283461,0.7896612,0.060726423,0.33933026,131.25201,5
7.3557286,0.0012879912,0.00012894602,403.589,637.12665,0.9109601,0.016264254,655.7692,4.930619,0.75160426,-0.022334797,0.30153403,0,6
2.2573855,1.5040626E-05,2.2956344E-06,506.4357,734.77673,1.065234,0.020071529,949.8615,4.520485,0.8082572,0.014897868,0.32473803,0,6
6.363642,0.0005644342,0.0001921257,432.7434,677.87085,0.93916714,0.026649505,797.33136,5.295379,0.7445937,-0.33456984,0.29391414,0,6
1.3882892,1.590143E-06,1.6917949E-07,515.6435,753.5169,0.98010063,0.035254415,1050.2725,4.4560432,0.7429741,-0.058256224,0.28726673,0,6
1.5917292,0.012354627,0.00094070303,588.6946,784.385,0.9026747,0.025209548,1123.3936,6.1447372,0.7615189,-0.02819737,0.3278961,28.683073,6
2.8237126,0.011818749,0.00059386273,656.6596,770.69,0.8597679,0.019205559,1164.2518,7.5175962,0.762075,0.031448867,0.3574176,53.427364,6
1.1069303,0.15239276,0.035182986,649.6262,830.47253,0.8421821,0.031720873,1222.5889,6.7989616,0.77212536,0.06043421,0.33964708,65.346504,6
2.0221386,0.008027717,0.00057143485,611.7096,761.349,0.85816383,0.021204991,1173.385,7.061001,0.7422189,0.032111768,0.35832468,54.037174,6
1.7098683,0.0008931167,0.00011703258,505.27505,654.6442,0.84631073,0.028709454,961.0677,4.939862,0.7083061,-0.0056549413,0.28317234,0,7
0.99230266,0.0018315784,0.00021896581,565.4038,753.9425,0.93833387,0.03730643,1129.0698,4.9662824,0.7374491,0.052676357,0.29577273,0,7
0.46328488,2.18796E-07,1.0437232E-08,516.2527,663.5411,0.83632165,0.045467425,948.062,4.924387,0.6930933,-0.22789916,0.28216732,0,7
1.179265,8.9706083E-07,8.579398E-08,486.24057,685.85376,0.9112177,0.035757955,978.2152,4.1657043,0.6900718,-0.12190865,0.27095017,0,7
-2.9912417,0.09689029,0.00490556,662.99493,798.0534,0.9013793,0.0347385,1273.0679,6.3527703,0.7569668,0.06779017,0.33204103,18.344505,7
-2.4607353,0.016201572,0.00075596734,659.502,801.45154,0.9319062,0.034216467,1211.3022,6.15116,0.751131,0.039002486,0.31720108,21.626461,7
1.6866206,0.16483666,0.016664473,492.1668,658.3628,0.82166725,0.03152738,886.9077,5.4303083,0.733365,0.08454541,0.30374113,14.27429,7
1.3303638,0.00012646709,2.6971207E-05,530.2124,743.9401,1.0007949,0.02590918,1026.1521,5.294354,0.7826325,0.032790713,0.29648235,10.277093,7
0.22381441,3.5856593E-07,1.9376206E-08,354.74606,528.6812,0.8007194,0.016370209,658.9021,3.3408568,0.6088118,0.012326193,0.2668634,0,8
0.31667498,1.9676749E-07,1.844131E-08,341.43433,530.46344,0.82705426,0.015973037,643.5185,3.0996213,0.6099033,-0.014506898,0.24341814,0,8
1.115858,1.2899051E-06,1.2686036E-07,443.65765,682.63696,0.9333307,0.029657466,908.547,3.8387995,0.70160687,-0.063508034,0.27295423,0,8
0.065660365,4.6164143E-08,8.6608193E-10,320.70255,486.6347,0.71808976,0.015969817,595.9877,3.0420425,0.56296754,0.023154173,0.25718772,0,8
2.2024165E-06,1.3788043E-08,4.9593124E-10,344.75064,507.38583,0.69230336,0.015571386,627.2727,3.9393725,0.55829346,-0.025647784,0.3013913,0,8
2.2024165E-06,1.376274E-08,4.5240156E-10,340.7743,495.79507,0.6606036,0.012978773,599.1525,4.197664,0.55341595,0.021653453,0.29050994,6.445159,8
2.2024165E-06,3.839516E-08,1.7517917E-09,361.13986,547.2145,0.71813583,0.020537686,729.5389,3.388915,0.58845556,0.055065066,0.2803329,0,8
0.53486484,1.9258003E-07,4.0949956E-08,394.04367,599.73267,0.8722646,0.017761197,715.7407,4.7454123,0.65978736,-0.04695264,0.29267144,2.002002,8
